xAcc, yAcc, zAcc, xGyro, yGyro, zGyro, steeringPercent, acceleratorPercent, coures, targetCourse
-1180,-396,13304,19,24,213,10,-2,0,0
-1128,-428,13396,18,21,198,10,-2,0,0
-1060,-388,13524,32,-9,208,10,-2,0,0
-1108,-472,13420,36,15,205,10,0,0,0
-1140,-480,13208,26,21,204,10,0,0,0
-1036,-516,13604,30,30,190,10,-2,0,0
-1156,-420,13492,51,31,200,10,-2,0,0
-1128,-360,13196,39,23,187,10,-2,0,0
-1004,-352,13180,29,14,181,10,0,0,0
-1160,-284,13380,16,14,188,10,0,0,0
-1092,-396,13380,32,23,187,10,-2,0,0
-988,-424,13556,31,16,189,10,-2,0,0
-1000,-428,13404,40,8,187,10,0,0,0
-1168,-376,13424,18,13,211,10,-2,0,0
-1140,-444,13364,36,17,203,10,-2,0,0
-1124,-500,13544,20,33,205,10,0,0,0
-1088,-324,13340,30,28,189,10,0,0,0
-1052,-496,13440,28,32,203,10,-2,0,0
-1072,-436,13236,33,35,202,10,-2,0,0
-1096,-452,13424,20,19,183,10,0,0,0
-1152,-408,13276,18,23,202,10,-2,0,0
-1120,-456,13332,41,28,193,10,-2,0,0
-1140,-340,13524,22,29,176,10,-2,0,0
-1208,-404,13268,37,39,194,10,-2,0,0
-1032,-404,13296,21,13,201,10,-2,0,0
-1104,-424,13300,35,14,182,10,-2,0,0
-1132,-504,13420,35,26,190,10,0,0,0
-1104,-488,13404,51,10,202,10,-2,0,0
-1044,-408,13412,34,19,191,10,0,0,0
-1104,-444,13396,49,24,220,10,0,0,0
-1120,-460,13296,25,11,194,10,-2,0,0
-1052,-436,13440,28,26,196,10,-2,0,0
-1104,-476,13408,29,29,186,10,-2,0,0
-1120,-396,13536,23,27,192,10,-2,0,0
-1012,-392,13284,34,11,189,10,-2,0,0
-1024,-360,13424,43,23,199,10,0,0,0
-1112,-472,13256,23,22,193,10,0,0,0
-892,-408,13408,41,21,200,10,-2,0,0
-1068,-416,13408,44,30,183,10,-2,0,0
-1064,-364,13304,31,19,197,10,0,0,0
-1116,-424,13288,26,5,210,10,-2,0,0
-1008,-356,13396,29,-5,196,10,0,0,0
-972,-324,13156,18,4,206,10,0,0,0
-1064,-396,13500,9,39,194,10,-2,0,0
-1044,-428,13216,22,28,200,10,-2,0,0
-996,-592,13352,45,30,205,10,0,0,0
